Employee_No,Title,Gender,Marital_Status,Date_Joined,Date_Resigned,Status,Inactive_Date,Employment_Category,Employment_Type,Religion,Designation,Year_of_Birth,Average_work_Time,Average_late_hours,Average_leave_early_hours,Project_Codes,absent count,Average Salary
347,Mr,Male,Married,12/8/1993,\N,Active,\N,Staff,Permanant,Buddhist,Driver,1965.0,8.72,0.18,-0.87,"{1.0, 193.0}",7.0,34529.0
348,Mr,Male,Married,3/14/1995,\N,Active,\N,Staff,Permanant,Buddhist,Driver,1973.0,11.81,-0.3,-3.83,"{1.0, 193.0, 195.0, 194.1, 197.0, 198.1, 196.0, 199.1, 201.0, 202.0, 203.0, 169.0, 205.0, 206.0, 179.1, 179.2, 187.0, 188.0}",135.0,61223.0
349,Mr,Male,Married,1/27/1988,6/28/2021,Inactive,6/28/2021,Staff,Permanant,Buddhist,Account Clerk,1974.0,8.91,0.46,-1.37,"{1.0, 193.0}",5.0,NA
351,Ms,Female,Married,10/1/1999,1/31/2022,Inactive,1/31/2022,Staff,Permanant,Catholic,Purchasing Officer,1974.0,8.37,-0.0,-0.34,{1.0},1.0,45604.0
352,Mr,Male,Married,1/26/2001,\N,Active,\N,Staff,Permanant,Buddhist,Store Keeper,1980.0,10.54,0.5,-3.04,{187.0},4.0,31156.0
353,Mr,Male,Married,9/29/2003,\N,Inactive,8/31/2020,Staff,Permanant,Buddhist,Technical Officer,1962.0,NA,NA,NA,NA,NA,NA
354,Mr,Male,Married,11/10/2003,\N,Active,\N,Staff,Permanant,Buddhist,Technical Officer,1969.0,12.37,0.45,-4.99,"{194.1, 190.0}",16.0,69234.0
355,Mr,Male,Married,2/16/2004,\N,Active,\N,Staff,Permanant,Buddhist,Project Coordinator ,1981.0,14.22,0.29,-6.85,"{199.0, 199.1}",2.0,165716.0
356,Ms,Female,Single,6/1/2005,\N,Active,\N,Staff,Permanant,Buddhist,Account Clerk,1974.0,9.25,0.05,-1.3,{1.0},6.0,56895.0
359,Mr,Male,Married,7/1/2006,1/31/2022,Inactive,1/31/2022,Staff,Permanant,Buddhist,Electrician,1967.0,9.87,-0.55,-0.46,"{179.1, 179.0}",2.0,29732.0
360,Mr,Male,Married,8/29/2006,5/5/2021,Inactive,5/5/2021,Management,Permanant,Buddhist,Transport Officer,1976.0,9.38,0.09,-1.41,{1.0},6.0,NA
361,Mr,Male,Single,11/1/2006,\N,Active,\N,Staff,Permanant,Hindu,Store Keeper,1986.0,11.9,0.41,-4.64,"{184.0, 195.0}",5.0,58855.0
363,Mr,Male,Married,5/25/2007,5/23/2021,Inactive,5/23/2021,Staff,Permanant,Buddhist,Driver,1975.0,15.03,-1.65,-5.7,{1.0},12.0,NA
365,Mr,Male,Married,11/12/2007,\N,Inactive,9/10/2020,Staff,Permanant,Buddhist,Operator - JCB,1984.0,NA,NA,NA,NA,NA,NA
366,Mr,Male,Married,11/15/2008,5/21/2020,Inactive,5/21/2020,Staff,Permanant,Buddhist,Driver - Boom,1973.0,NA,NA,NA,NA,NA,NA
371,Ms,Female,Single,8/2/2010,4/30/2021,Inactive,4/30/2021,Management,Contarct Basis,Buddhist,Construction Manager,1963.0,NA,NA,NA,NA,NA,NA
372,Mr,Male,Married,8/5/2010,\N,Inactive,9/27/2020,Staff,Contarct Basis,Buddhist,Operator - Crane,1981.0,NA,NA,NA,NA,NA,NA
373,Mr,Male,Married,10/26/2010,\N,Active,\N,Staff,Contarct Basis,Buddhist,Operator-Excavator,1990.0,15.28,-1.07,-5.71,{1.0},37.0,56040.0
376,Mr,Male,Married,3/24/2011,\N,Active,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1961.0,11.56,0.25,-4.39,"{193.0, 1.0, 169.0, 202.0, 189.0, 190.0}",8.0,55123.0
377,Mr,Male,Single,11/3/2011,\N,Active,\N,Staff,Contarct Basis,Muslim,Draughtsman,1982.0,10.81,0.42,-3.45,"{190.0, 198.1}",20.0,50053.0
378,Mr,Male,Married,11/21/2011,\N,Inactive,7/28/2020,Staff,Contarct Basis,Buddhist,Site Engineer,1965.0,NA,NA,NA,NA,NA,NA
379,Mr,Male,Single,1/25/2012,\N,Inactive,6/30/2020,Staff,Contarct Basis,Buddhist,Supervisor,1991.0,NA,NA,NA,NA,NA,NA
380,Mr,Male,Married,1/29/2012,\N,Active,\N,Staff,Contarct Basis,Buddhist,Driver,1978.0,11.79,-0.59,-3.06,"{188.0, 198.1}",4.0,32287.0
381,Mr,Male,Married,3/17/2012,\N,Active,\N,Staff,Contarct Basis,Muslim,Technical Officer,1982.0,11.07,0.51,-3.09,"{198.0, 198.1}",12.0,59014.0
383,Mr,Male,Married,5/21/2012,\N,Active,\N,Staff,Contarct Basis,Buddhist,Driver,1994.0,14.28,0.37,-7.01,"{199.0, 199.1}",6.0,44828.0
384,Mr,Male,Married,6/5/2012,\N,Active,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1989.0,11.01,-0.05,-2.34,{169.0},13.0,66094.0
385,Mr,Male,Married,7/6/2012,\N,Active,\N,Staff,Contarct Basis,Buddhist,Junior Technical Officer,1986.0,9.94,0.15,-1.72,{169.0},5.0,52553.0
388,Mr,Male,Married,11/18/2012,\N,Inactive,3/30/2020,Staff,Contarct Basis,Buddhist,Technical Officer,1989.0,NA,NA,NA,NA,NA,NA
389,Mr,Male,Married,12/14/2012,\N,Active,\N,Staff,Contarct Basis,Buddhist,Driver,1994.0,13.19,0.03,-4.76,"{1.0, 196.0, 198.1, 198.0, 201.0}",31.0,26151.0
391,Mr,Male,Married,1/24/2013,\N,Inactive,11/14/2019,Staff,Contarct Basis,Buddhist,Driver-Tractor,1960.0,NA,NA,NA,NA,NA,NA
392,Mr,Male,Married,2/5/2013,\N,Active,\N,Staff,Contarct Basis,Muslim,Technical Officer,1989.0,10.92,0.23,-3.3,{189.0},3.0,39328.0
393,Mr,Male,Married,4/1/2013,\N,Active,\N,Staff,Contarct Basis,Muslim,Project Manager,1965.0,11.57,-0.78,-2.31,"{188.0, 198.0, 198.1}",8.0,144156.0
394,Mr,Male,Married,6/27/2013,12/17/2021,Inactive,12/17/2021,Staff,Contarct Basis,Buddhist,Operator - Crane,1993.0,12.53,0.41,-4.92,"{199.0, 199.1}",11.0,25029.0
396,Mr,Male,Single,8/21/2013,\N,Active,\N,Staff,Contarct Basis,Buddhist,Operator - Loader,1993.0,10.95,0.1,-3.17,"{193.0, 189.0}",12.0,30312.0
399,Mr,Male,Married,1/28/2014,8/31/2021,Inactive,8/31/2021,Staff,Contarct Basis,Hindu,Supervisor,1989.0,13.3,-0.13,-4.61,"{199.1, 199.0}",0.0,NA
400,Mr,Male,Single,1/24/2014,\N,Active,\N,Staff,Contarct Basis,Hindu,Supervisor,1988.0,13.89,0.43,-6.62,"{199.1, 199.0}",7.0,53055.0
401,Mr,Male,Married,2/25/2014,\N,Active,\N,Staff,Contarct Basis,Buddhist,Store Keeper,1972.0,11.43,0.06,-3.69,{182.0},0.0,42981.0
402,Mr,Male,Single,2/22/2014,8/31/2020,Inactive,8/31/2020,Staff,Contarct Basis,Buddhist,Driver,1995.0,0.01,11.95,-3.46,"{1.0, 194.1, 203.0, 199.1}",4.0,NA
403,Mr,Male,Married,5/3/2014,\N,Inactive,8/28/2020,Staff,Contarct Basis,Buddhist,Operator - JCB,1992.0,NA,NA,NA,NA,NA,NA
404,Mr,Male,Single,6/4/2014,\N,Active,\N,Staff,Contarct Basis,Buddhist,Engineer Assistant,1987.0,11.37,-0.33,-2.42,"{169.0, 179.1, 197.0}",1.0,88075.0
405,Mr,Male,Married,6/9/2014,12/5/2019,Inactive,12/5/2019,Staff,Contarct Basis,Buddhist,Supervisor,1988.0,NA,NA,NA,NA,NA,NA
407,Mr,Male,Single,9/17/2014,6/22/2020,Inactive,6/22/2020,Staff,Contarct Basis,Hindu,Quantity Surveyor,1990.0,NA,NA,NA,NA,NA,NA
408,Mr,Male,Single,10/1/2014,\N,Active,\N,Staff,Contarct Basis,Buddhist,Quantity Surveyor,1990.0,10.97,0.12,-3.03,"{1.0, 198.0, 198.1}",24.0,65398.0
410,Mr,Male,Single,2/5/2015,5/30/2021,Inactive,5/30/2021,Staff,Contarct Basis,Buddhist,Moter Mechanic,1995.0,12.29,-0.71,-3.67,{1.0},6.0,NA
